UseCode|CodeDesc|CdeRetireFlg|RecDateTime|RecUserId
0607|Bed $ Breakfast, 7 Units|0|01/05/1998|0
0608|Bed $ Breakfast, 8 Units|0|01/05/1998|0
0609|Bed $ Breakfast, 9 Units|0|01/05/1998|0
0610|Bed $ Breakfast, 10 Units|0|01/05/1998|0
0611|Bed $ Breakfast, 11 Units|0|01/05/1998|0
0612|Bed $ Breakfast, 12 Units|0|01/05/1998|0
0613|Bed $ Breakfast, 13 Units|0|01/05/1998|0
0614|Bed $ Breakfast, 14 Units|0|01/05/1998|0
0615|Bed $ Breakfast, 15 Units|0|01/05/1998|0
0616|Bed $ Breakfast, 16 Units|0|01/05/1998|0
0617|Bed $ Breakfast, 17 Units|0|01/05/1998|0
0618|Bed $ Breakfast, 18 Units|0|01/05/1998|0
0619|Bed $ Breakfast, 19 Units|0|01/05/1998|0
0620|Bed $ Breakfast, 20 Units|0|01/05/1998|0
0621|Bed $ Breakfast, 21 Units|0|01/05/1998|0
0622|Bed $ Breakfast, 22 Units|0|01/05/1998|0
0623|Bed $ Breakfast, 23 Units|0|01/05/1998|0
0624|Bed $ Breakfast, 24 Units|0|01/05/1998|0
0625|Bed $ Breakfast, 25 Units|0|01/05/1998|0
0626|Bed $ Breakfast, 26 Units|0|01/05/1998|0
0627|Bed $ Breakfast, 27 Units|0|01/05/1998|0
0628|Bed $ Breakfast, 28 Units|0|01/05/1998|0
0629|Bed $ Breakfast, 29 Units|0|01/05/1998|0
0630|Bed $ Breakfast, 30+ Units|0|01/05/1998|0
0640|No Description Available|0|03/20/1998|
0652|No Description Available|0|03/20/1998|
0656|No Description Available|0|03/20/1998|
0670|No Description Available|0||
0676|No Description Available|0|03/20/1998|
0691|No Description Available|0|07/02/1999|
0695|No Description Available|0||
0700|Hotels/Motels|0|12/31/1997|
0701|Hotels/Motels, Under 25 Rooms|0|01/05/1998|0
0702|Hotels/Motels, 25-49 Rooms|0|01/05/1998|0
0703|No Description Available|0|03/20/1998|
0705|Hotels/Motels, 50-99 Rooms|0|01/05/1998|0
0707|No Description Available|0|03/20/1998|
0709|No Description Available|0||
0710|Hotels/Motels, 100-199 Rooms|0|01/05/1998|0
0711|No Description Available|0||
0712|No Description Available|0|03/20/1998|
0714|No Description Available|0|03/20/1998|
0717|No Description Available|0|03/20/1998|
0720|Hotels/Motels, 200-299 Rooms|0|01/05/1998|0
0725|No Description Available|0|03/20/1998|
0726||0||
0727|No Description Available|0||
0730|Hotels/Motels, 300 & Up Rooms|0|01/05/1998|0
0731|No Description Available|0||
0733|No Description Available|0|04/14/1999|
0734|No Description Available|0|03/20/1998|
0740|No Description Available|0|03/20/1998|
0741|No Description Available|0||
0744|No Description Available|0|03/20/1998|
0749|No Description Available|0|03/20/1998|
0768|No Description Available|0||
0771|No Description Available|0||
0773|No Description Available|0||
0775|No Description Available|0||
0776|No Description Available|0|03/20/1998|
0790|No Description Available|0|03/20/1998|
0794|No Description Available|0|03/20/1998|
0800|Mixed use-commercial/residential|0|03/20/1998|
0802|No Description Available|0|03/20/1998|
0811|No Description Available|0|03/20/1998|
0812|No Description Available|0||
0821|No Description Available|0||
0822|No Description Available|0|07/11/1999|
0824|No Description Available|0||
0850|No Description Available|0||
0852|No Description Available|0|03/20/1998|
0853|No Description Available|0||
0890|No Description Available|0|07/02/1999|
0900|Mobile Home Parks|0|12/31/1997|
0919|No Description Available|0|03/20/1998|
0931|No Description Available|0|07/02/1999|
0970|No Description Available|0|03/20/1998|
0981|No Description Available|0|03/20/1998|
0990|No Description Available|0|03/20/1998|
0991|No Description Available|0|03/20/1998|
1000|Commercial|0|12/31/1997|
1001|No Description Available|0||
1012|No Description Available|0||
1035|No Description Available|0||
1050|No Description Available|0|03/20/1998|
1090|No Description Available|0|03/20/1998|
1093|No Description Available|0||
1098|No Description Available|0||
1100|Retail Stores, Single Story|0|12/31/1997|
1102|No Description Available|0|01/15/2000|
1110|No Description Available|0||
1111|No Description Available|0||
1112|No Description Available|0||
1114|No Description Available|0||
1118|No Description Available|0||
1150|No Description Available|0|03/20/1998|
1165|No Description Available|0||
1172|No Description Available|0||
1175|No Description Available|0||
1177|No Description Available|0||
1190|No Description Available|0|03/20/1998|
1193|No Description Available|0||
1200|Store & Office Combination|0|12/31/1997|
1209|No Description Available|0|12/17/1999|
1210|No Description Available|0|03/20/1998|
1212|No Description Available|0||
1213|No Description Available|0||
1223|No Description Available|0|03/20/1998|
1231||0||
1251|No Description Available|0||
1280|No Description Available|0|03/20/1998|
1281|No Description Available|0|04/14/1999|
1285|No Description Available|0|04/14/1999|
1300|Department Stores|0|12/31/1997|
1312|No Description Available|0||
1323|No Description Available|0|03/20/1998|
1325||0||
1330|No Description Available|0||
1351|No Description Available|0|01/06/1999|
1371|No Description Available|0|03/20/1998|
1374|No Description Available|0|10/23/1999|
1400|Super Markets|0|12/31/1997|
1412|No Description Available|0||
1413|No Description Available|0||
1431|No Description Available|0||
1433|No Description Available|0||
1500|Shopping Centers (Neighborhood)|0|12/31/1997|
1531|No Description Available|0|03/20/1998|
1600|Shopping Centers (Regional)|0|12/31/1997|
1630|No Description Available|0|03/20/1998|
1674|No Description Available|0|03/20/1998|
1700|Office Buildings (1 Story)|0|12/31/1997|
1707|No Description Available|0|03/20/1998|
1710|No Description Available|0||
1740|No Description Available|0|03/20/1998|
1790|No Description Available|0|03/20/1998|
1800|Office Buildings (multi-story)|0|12/31/1997|
1802|No Description Available|0|03/20/1998|
1806|No Description Available|0|03/20/1998|
1850|No Description Available|0|10/23/1999|
1890|No Description Available|0||
1900|Professional Buildings|0|12/31/1997|
1909|No Description Available|0|03/20/1998|
1910|No Description Available|0|03/20/1998|
1933|No Description Available|0|03/20/1998|
1990|No Description Available|0|03/20/1998|
2000|No Description Available|0|03/20/1998|
2001|No Description Available|0||
2007|No Description Available|0||
2024|No Description Available|0|03/20/1998|
2090|No Description Available|0|03/20/1998|
2100|Restaurants, Coctail Lounge|0|12/31/1997|
2101|No Description Available|0|03/20/1998|
2102|No Description Available|0|03/20/1998|
2103|No Description Available|0|07/03/1999|
2109|No Description Available|0|03/20/1998|
2124|No Description Available|0||
2134|No Description Available|0|03/20/1998|
2190|No Description Available|0|03/20/1998|
2200|Recreation|0|12/31/1997|
2210|No Description Available|0|03/20/1998|
2300|Commercial & Office Condos, PHDs|0|12/31/1997|
2310|Store Area, Under 500 Sq'/Unit Area|0|01/05/1998|0
2311|Store Area, 501 to 1000 Sq'/Unit Area|0|01/05/1998|0
2312|Store Area, 1001 to 1600 Sq'/Unit Area|0|01/05/1998|0
2313|Store Area, 1601 to 2400 Sq'/Unit Area|0|01/05/1998|0
2314|Store Area, 2401 to 3600 Sq'/Unit Area|0|01/05/1998|0
2315|Store Area, Over 3600 Sq'/Unit Area|0|01/05/1998|0
2320|Store Area, Under 500 Sq'/Unit Area|0|01/05/1998|0
2321|Store Area, 501 to 1000 Sq'/Unit Area|0|01/05/1998|0
2322|Store Area, 1001 to 1600 Sq'/Unit Area|0|01/05/1998|0
2323|Store Area, 1601 to 2400 Sq'/Unit Area|0|01/05/1998|0
2324|Store Area, 2401 to 3600 Sq'/Unit Area|0|01/05/1998|0
2325|Store Area, Over 3600 Sq'/Unit Area|0|01/05/1998|0
2340|General Offices, Under 500 Sq'/Unit Area|0|01/05/1998|0
2341|General Offices, 501 to 1000 Sq'/Unit Area|0|01/05/1998|0
2342|General Offices,1001 to 1600 Sq'/Unit Area|0|01/05/1998|0
2343|General Offices, 1601 to 2400 Sq'/Unit Area|0|01/05/1998|0
2344|General Offices, 2401 to 3600 Sq'/Unit Area|0|01/05/1998|0
2345|General Offices, Over 3600 Sq'/Unit Area|0|01/05/1998|0
2350|General Offices, Under 500 Sq'/Unit Area|0|01/05/1998|0
2351|General Offices, 501 to 1000 Sq'/Unit Area|0|01/05/1998|0
2352|General Offices, 1001 to 1600 Sq'/Unit Area|0|01/05/1998|0
2353|General Offices, 1601 to 2400 Sq'/Unit Area|0|01/05/1998|0
2354|General Offices, 2401 to 3600 Sq'/Unit Area|0|01/05/1998|0
2355|General Offices, Over 3600 Sq'/Unit Area|0|01/05/1998|0
2370|Medical/Dental Offices, Under 500 Sq'/Unit Area|0|01/05/1998|0
2371|Medical/Dental Offices, 501 to 1000 Sq'/Unit Area|0|01/05/1998|0
2372|Medical/Dental Offices, 1001 to 1600 Sq'/Unit Area|0|01/05/1998|0
2373|Medical/Dental Offices, 1601 to 2400 Sq'/Unit Area|0|01/05/1998|0
2374|Medical/Dental Offices, 2401 to 3600 Sq'/Unit Area|0|01/05/1998|0
2375|Medical/Dental Offices, Over 3600 Sq'/Unit Area|0|01/05/1998|0
2380|Medical/Dental Offices, Under 500 Sq'/Unit Area|0|01/05/1998|0
2381|Medical/Dental Offices, 501 to 1000 Sq'/Unit Area|0|01/05/1998|0
2382|Medical/Dental Offices, 1001 to 1600 Sq'/Unit Area|0|01/05/1998|0
2383|Medical/Dental Offices, 1601 to 2400 Sq'/Unit Area|0|01/05/1998|0
2384|Medical/Dental Offices, 2401 to 3600 Sq'/Unit Area|0|01/05/1998|0
2385|Medical/Dental Offices, Over 3600 Sq'/Unit Area|0|01/05/1998|0
2400|Banks, S&L Assoc.|0|12/31/1997|
2413||0||
2472|No Description Available|0|03/20/1998|
2500|Service Stations|0|12/31/1997|
2600|Auto Sales, Repair, Storage, Rentals, Car Wash,etc|0|12/31/1997|
2604|No Description Available|0|03/20/1998|
2620|No Description Available|0||
2622|No Description Available|0|03/20/1998|
2680|No Description Available|0||
2690|No Description Available|0|03/20/1998|
2700|Parking Lot|0|12/31/1997|
2720|No Description Available|0|03/20/1998|
2790|No Description Available|0|03/20/1998|
2800|Wholesale Laundry|0|12/31/1997|
2810|No Description Available|0||
2893|No Description Available|0|03/20/1998|
2900|Nurseries, Greenhouses|0|12/31/1997|
2902|No Description Available|0|03/20/1998|
2990|No Description Available|0|03/20/1998|
3000|Industrial|0|12/31/1997|
3032|No Description Available|0|03/20/1998|
3040|No Description Available|0||
3090|No Description Available|0|03/20/1998|
3100|Light Manufacturing|0|12/31/1997|
3115|No Description Available|0|03/20/1998|
3119|No Description Available|0|03/20/1998|
3127|No Description Available|0|03/20/1998|
3130|No Description Available|0|03/20/1998|
3137|No Description Available|0||
3140|No Description Available|0||
3150|No Description Available|0|01/06/1999|
3190|No Description Available|0|03/20/1998|
3200|Warehousing|0|12/31/1997|
3210|No Description Available|0|03/20/1998|
3214|No Description Available|0|03/20/1998|
3230|No Description Available|0||
3272|No Description Available|0|10/23/1999|
3290|No Description Available|0|03/20/1998|
3300|Industrial Condos, free standing, C, under 1000 sq|0|12/31/1997|
3301|Free standing, C construction, 1001-2000 Sq'/Unit|0|01/05/1998|0
3302|Free standing, C construction, 2001-3500 Sq'/Unit|0|01/05/1998|0
3303|Free standing, C construction, 3501-5000 Sq'/Unit|0|01/05/1998|0
3304|Free standing, C construction, Over 5000 Sq'/Unit|0|01/05/1998|0
3310|Row Units, C construction, under 1000 Sq'/Unit|0|01/05/1998|0
3311|Row Units, C construction, 1001-2000 Sq'/Unit|0|01/05/1998|0
3312|Row Units, C construction, 2001-3500 Sq'/Unit|0|01/05/1998|0
3313|Row Units, C construction, 3501-5000 Sq'/Unit|0|01/05/1998|0
3314|Row Units, C construction, Over 5000 Sq'/Unit|0|01/05/1998|0
3320|Modular division, C construction under 1000 sq'/un|0|01/05/1998|0
3321|Modular division, C construction, 1001-2000 sq'/un|0|01/05/1998|0
3322|Modular division, C construction, 2001-3500 sq'/un|0|01/05/1998|0
3323|Modular division, C construction, 3501-5000 sq'/un|0|01/05/1998|0
3324|Modular division, C construction over, 5000 sq'/un|0|01/05/1998|0
3325|No Description Available|0|04/14/1999|
3330|Free standing, D construction, under 1000 Sq'/Unit|0|01/05/1998|0
3331|Free standing, D construction, 1001-2000 Sq'/Unit|0|01/05/1998|0
3332|Free standing, D construction, 2001-3500 Sq'/Unit|0|01/05/1998|0
3333|Free standing, D construction, 3501-5000 Sq'/Unit|0|01/05/1998|0
3334|Free standing, D construction, Over 5000 Sq'/Unit|0|01/05/1998|0
3340|Row Units, D construction, under 1000 Sq'/Unit|0|01/05/1998|0
3341|Row Units, D construction, 1001-2000 Sq'/Unit|0|01/05/1998|0
3342|Row Units, D construction, 2001-3500 Sq'/Unit|0|01/05/1998|0
3343|Row Units, D construction, 3501-5000 Sq'/Unit|0|01/05/1998|0
3344|Row Units, D construction, Over 5000 Sq'/Unit|0|01/05/1998|0
3350|Modular division, D construction under 1000 sq'/un|0|01/05/1998|0
3351|Modular division, D construction, 1001-2000 sq'/un|0|01/05/1998|0
3352|Modular division, D construction, 2001-3500 sq'/un|0|01/05/1998|0
3353|Modular division, D construction, 3501-5000 sq'/un|0|01/05/1998|0
3354|Modular division, D construction, over 5000 sq'/un|0|01/05/1998|0
3360|Free standing, Steel, under 1000 Sq'/Unit|0|01/05/1998|0
3361|Free standing, Steel, 1001-2000 Sq'/Unit|0|01/05/1998|0
3362|Free standing, Steel, 2001-3500 Sq'/Unit|0|01/05/1998|0
3363|Free standing, Steel, 3501-5000 Sq'/Unit|0|01/05/1998|0
3364|Free standing, Steel, Over 5000 Sq'/Unit|0|01/05/1998|0
3370|Row units, Steel, Under 1000 Sq'/Unit|0|01/05/1998|0
3371|Row units, Steel, 1001-2000 Sq'/Unit|0|01/05/1998|0
3372|Row units, Steel, 2001-3500 Sq'/Unit|0|01/05/1998|0
3373|Row units, Steel, 3501-5000 Sq'/Unit|0|01/05/1998|0
3374|Row units, Steel, Over 5000 Sq'/Unit|0|01/05/1998|0
3380|Modular division, Steel, Under 1000 Sq'/Unit|0|01/05/1998|0
3381|Modular division, Steel, 1001-2000 Sq'/Unit|0|01/05/1998|0
3382|Modular division, Steel, 2001-3500 Sq'/Unit|0|01/05/1998|0
3383|Modular division, Steel, 3501-5000 Sq'/Unit|0|01/05/1998|0
3384|Modular division, Steel, Over 5000 Sq'/Unit|0|01/05/1998|0
3390|No Description Available|0||
3399|No Description Available|0|10/23/1999|
3400|Packing Plants|0|12/31/1997|
3407|No Description Available|0|03/20/1998|
3409|No Description Available|0|03/20/1998|
3410|No Description Available|0|03/20/1998|
3411|No Description Available|0||
3436|No Description Available|0|03/20/1998|
3500|Lumber Yards, Mills|0|12/31/1997|
3600|Other Food - Food Processing, Bakeries|0|12/31/1997|
3700|Heavy Industry|0|12/31/1997|
3800|Mineral Processing|0|12/31/1997|
3900|Open Storage Bulk Plant|0|12/31/1997|
3930||0||
3947|No Description Available|0|03/20/1998|
3990|No Description Available|0|03/20/1998|
4000|Irrigated Farm|0|12/31/1997|
4090|No Description Available|0|03/20/1998|
4100|Orchards|0|12/31/1997|
4111|Proper use, Avocados|0|01/09/1998|
4112|Proper use, Lemons|0|01/09/1998|
4113|Proper use, Avo/Lemons|0|01/09/1998|
4114|Proper use, Walnuts|0|01/09/1998|
4115|Proper use, Almonds|0|01/09/1998|
4116|Proper use, Limes|0|01/09/1998|
4117|Proper use, Oranges|0|01/09/1998|
4118|Proper use, Other|0|01/09/1998|
4121|Ag use, transitional, Avocados|0|01/09/1998|
4122|Ag use, transitional, Lemons|0|01/09/1998|
4123|Ag use, transitional, Avo/Lemons|0|01/09/1998|
4124|Ag use, transitional, Walnuts|0|01/09/1998|
4125|Ag use, transitional, Almonds|0|01/09/1998|
4126|Ag use, transitional, Limes|0|01/09/1998|
4127|Ag use, transitional, Oranges|0|01/09/1998|
4128|Ag use, transitional, Other|0|01/09/1998|
4129|No Description Available|0|03/20/1998|
4131|Ag preserve, cont. restrict., Avocados|0|01/09/1998|
4132|Ag preserve, cont. restrict, Lemons|0|01/09/1998|
4133|Ag preserve, cont. restrict., Avo/Lemons|0|01/09/1998|
4134|Ag preserve, cont. restrict., Walnuts|0|01/09/1998|
4135|Ag preserve, cont. restrict., Almonds|0|01/09/1998|
4136|Ag preserve, cont. restrict., Limes|0|01/09/1998|
4137|Ag preserve, cont. restrict., Oranges|0|01/09/1998|
4138|Ag preserve, contractual restrictions, other|0|01/09/1998|
4141|Ag preserve, Notice of non-renewal, Avocados|0|01/09/1998|
4142|Ag preserve, Notice of non-renewal, Lemons|0|01/09/1998|
4143|Ag preserve, Notice of non-renewal, Avo/Lemons|0|01/09/1998|
4144|Ag preserve, Notice of non-renewal, Walnuts|0|01/09/1998|
4145|Ag preserve, Notice of non-renewal, Almonds|0|01/09/1998|
4146|Ag preserve, Notice of non-renewal, Limes|0|01/09/1998|
4147|Ag preserve, Notice of non-renewal, Oranges|0|01/09/1998|
4148|Ag preserve, Notice of non-renewal, Other|0|01/09/1998|
4151|Government owned, Avocados|0|01/09/1998|
4152|Government owned, Lemons|0|01/09/1998|
4153|Government owned, Avo/Lemons|0|01/09/1998|
4154|Government owned, Walnuts|0|01/09/1998|
4155|Government owned, Almonds|0|01/09/1998|
4156|Government owned, Limes|0|01/09/1998|
4157|Government owned, Oranges|0|01/09/1998|
4158|Government owned, Other|0|01/09/1998|
4183||0||
